owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
msgpack,msgpack-java,/home/camila/repos/msgpack/msgpack-java,False,0,0,0,0,0.000
NationalSecurityAgency,ghidra,/home/camila/repos/NationalSecurityAgency/ghidra,False,0,0,0,0,0.000
naver,ngrinder,/home/camila/repos/naver/ngrinder,False,0,0,0,0,0.000
Neamar,KISS,/home/camila/repos/Neamar/KISS,False,0,0,0,0,0.000
neo4j-contrib,neo4j-apoc-procedures,/home/camila/repos/neo4j-contrib/neo4j-apoc-procedures,False,0,0,0,0,0.000
Netflix,genie,/home/camila/repos/Netflix/genie,False,0,0,0,0,0.000
netty,netty,/home/camila/repos/netty/netty,True,51,49,2,1,0.961
networknt,light-4j,/home/camila/repos/networknt/light-4j,True,83,83,0,0,1.000
nextcloud,android,/home/camila/repos/nextcloud/android,False,0,0,0,0,0.000
nutzam,nutz,/home/camila/repos/nutzam/nutz,True,0,0,0,0,0.000
oblac,jodd,/home/camila/repos/oblac/jodd,False,0,0,0,0,0.000
open-keychain,open-keychain,/home/camila/repos/open-keychain/open-keychain,False,0,0,0,0,0.000
OpenAPITools,openapi-generator,/home/camila/repos/OpenAPITools/openapi-generator,True,0,0,0,0,0.000
OpenHFT,Chronicle-Map,/home/camila/repos/OpenHFT/Chronicle-Map,True,0,0,0,0,0.000
OpenHFT,Chronicle-Queue,/home/camila/repos/OpenHFT/Chronicle-Queue,True,0,0,0,0,0.000
OpenRefine,OpenRefine,/home/camila/repos/OpenRefine/OpenRefine,True,7,5,2,0,0.714
opensourceBIM,BIMserver,/home/camila/repos/opensourceBIM/BIMserver,True,7,7,0,0,1.000
opentripplanner,OpenTripPlanner,/home/camila/repos/opentripplanner/OpenTripPlanner,True,0,0,0,0,0.000
OpenVidu,openvidu,/home/camila/repos/OpenVidu/openvidu,True,0,0,0,2,0.000
openzipkin,brave,/home/camila/repos/openzipkin/brave,True,6,5,1,0,0.833
openzipkin,zipkin,/home/camila/repos/openzipkin/zipkin,True,6,6,0,2,1.000
oracle,opengrok,/home/camila/repos/oracle/opengrok,False,0,0,0,0,0.000
oracle,graal,/home/camila/repos/oracle/graal,False,0,0,0,0,0.000
oracle,visualvm,/home/camila/repos/oracle/visualvm,False,0,0,0,0,0.000
oshi,oshi,/home/camila/repos/oshi/oshi,False,0,0,0,0,0.000
osmandapp,OsmAnd,/home/camila/repos/osmandapp/OsmAnd,False,0,0,0,0,0.000
osmdroid,osmdroid,/home/camila/repos/osmdroid/osmdroid,False,0,0,0,0,0.000
pac4j,pac4j,/home/camila/repos/pac4j/pac4j,False,0,0,0,0,0.000
pentaho,pentaho-kettle,/home/camila/repos/pentaho/pentaho-kettle,True,0,0,0,9,0.000
PhilippC,keepass2android,/home/camila/repos/PhilippC/keepass2android,False,0,0,0,0,0.000
