owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
apache,bookkeeper,/home/camila/repos/apache/bookkeeper,DESCONHECIDO,False,False,False,0,0
apache,curator,/home/camila/repos/apache/curator,MULTIPROJETOS,False,False,False,13,555
apache,netbeans,/home/camila/repos/apache/netbeans,MULTIPROJETOS,False,False,False,59,21
apache,nutch,/home/camila/repos/apache/nutch,DESCONHECIDO,False,False,False,0,0
apache,servicecomb-java-chassis,/home/camila/repos/apache/servicecomb-java-chassis,MULTIPROJETOS,False,False,False,180,1295
apache,httpcomponents-client,/home/camila/repos/apache/httpcomponents-client,MULTIPROJETOS,False,False,False,5,552
apache,calcite,/home/camila/repos/apache/calcite,MULTIPROJETOS,True,False,False,0,0
apache,dubbo,/home/camila/repos/apache/dubbo,MULTIPROJETOS,False,False,False,130,1928
apache,drill,/home/camila/repos/apache/drill,MULTIPROJETOS,False,False,False,60,993
apache,pulsar,/home/camila/repos/apache/pulsar,MULTIPROJETOS,False,False,False,133,2342
apache,zeppelin,/home/camila/repos/apache/zeppelin,MULTIPROJETOS,False,False,False,74,1248
apache,iotdb,/home/camila/repos/apache/iotdb,MULTIPROJETOS,False,False,False,48,1162
apache,skywalking,/home/camila/repos/apache/skywalking,MULTIPROJETOS,False,False,False,98,626
apache,tika,/home/camila/repos/apache/tika,MULTIPROJETOS,False,False,False,113,3434
apache,nifi,/home/camila/repos/apache/nifi,MULTIPROJETOS,False,False,False,813,3518
apache,commons-lang,/home/camila/repos/apache/commons-lang,SINGLE_REPO,False,False,False,1,728
apache,gobblin,/home/camila/repos/apache/gobblin,MULTIPROJETOS,True,False,False,0,0
apache,struts,/home/camila/repos/apache/struts,MULTIPROJETOS,False,False,False,39,1669
apache,kafka,/home/camila/repos/apache/kafka,MULTIPROJETOS,True,False,False,3,192
apache,geode,/home/camila/repos/apache/geode,MULTIPROJETOS,True,False,False,0,0
apache,pdfbox,/home/camila/repos/apache/pdfbox,MULTIPROJETOS,False,False,False,14,1401
apache,storm,/home/camila/repos/apache/storm,MULTIPROJETOS,False,False,False,61,1365
apache,activemq,/home/camila/repos/apache/activemq,MULTIPROJETOS,False,False,False,55,2771
apache,maven,/home/camila/repos/apache/maven,MULTIPROJETOS,False,False,False,343,2502
apache,poi,/home/camila/repos/apache/poi,MULTIPROJETOS,True,False,False,1,56
apache,logging-log4j2,/home/camila/repos/apache/logging-log4j2,DESCONHECIDO,False,False,False,0,0
apache,hive,/home/camila/repos/apache/hive,DESCONHECIDO,False,False,False,0,0
apache,groovy,/home/camila/repos/apache/groovy,MULTIPROJETOS,True,False,False,0,0
apache,jmeter,/home/camila/repos/apache/jmeter,MULTIPROJETOS,True,False,False,0,0
apache,tinkerpop,/home/camila/repos/apache/tinkerpop,MULTIPROJETOS,False,False,False,28,1202
apache,flink,/home/camila/repos/apache/flink,MULTIPROJETOS,False,False,False,182,3215
apache,tomcat,/home/camila/repos/apache/tomcat,MULTIPROJETOS,False,False,False,4,164
apache,hadoop,/home/camila/repos/apache/hadoop,MULTIPROJETOS,False,False,False,50,3710
apache,beam,/home/camila/repos/apache/beam,MULTIPROJETOS,True,False,False,7,206
apache,ambari,/home/camila/repos/apache/ambari,MULTIPROJETOS,False,False,False,45,1404
apache,camel,/home/camila/repos/apache/camel,DESCONHECIDO,False,False,False,0,0
apereo,cas,/home/camila/repos/apereo/cas,SINGLE_REPO,False,False,False,1,1300
asciidocfx,AsciidocFX,/home/camila/repos/asciidocfx/AsciidocFX,SINGLE_REPO,False,False,False,1,227
AsyncHttpClient,async-http-client,/home/camila/repos/AsyncHttpClient/async-http-client,MULTIPROJETOS,False,False,False,2,1160
Athou,commafeed,/home/camila/repos/Athou/commafeed,MULTIPROJETOS,False,False,False,3,538
Atmosphere,atmosphere,/home/camila/repos/Atmosphere/atmosphere,MULTIPROJETOS,False,False,False,6,1139
Automattic,simplenote-android,/home/camila/repos/Automattic/simplenote-android,MULTIPROJETOS,True,False,False,0,0
aws,aws-sdk-java,/home/camila/repos/aws/aws-sdk-java,MULTIPROJETOS,False,False,False,386,4000
aws,aws-sdk-java-v2,/home/camila/repos/aws/aws-sdk-java-v2,MULTIPROJETOS,False,False,False,487,4291
AxonFramework,AxonFramework,/home/camila/repos/AxonFramework/AxonFramework,MULTIPROJETOS,False,False,False,28,1657
azkaban,azkaban,/home/camila/repos/azkaban/azkaban,MULTIPROJETOS,True,False,False,0,0
bazelbuild,bazel,/home/camila/repos/bazelbuild/bazel,MULTIPROJETOS,False,False,False,1,1
bcgit,bc-java,/home/camila/repos/bcgit/bc-java,MULTIPROJETOS,True,False,False,0,0
ben-manes,caffeine,/home/camila/repos/ben-manes/caffeine,MULTIPROJETOS,True,False,False,0,0
